產名,產期,產地,產季
蓮霧,1月，2月，3月，4月，5月，12月,新北：淡水、三芝，台北：北投，桃園：蘆竹、觀音、大園、新屋，苗栗：苗栗、銅鑼，嘉義：民雄、新港、水上、中埔，台南：白河、後壁、官田、六甲、柳營，高雄：仁武，花蓮：吉安,春季
番石榴,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,宜蘭：員山，彰化：溪州、社頭、二水、員林，雲林：古坑，嘉義：中埔，台南：楠西、玉井、大內、南化、山上，高雄：燕巢、阿蓮、大社、旗山、美濃、岡山、甲仙，屏東：高樹,春季
金棗,1月，2月,宜蘭：礁溪、員山,春季
蒜,2月，3月，4月,彰化：大城、伸港，雲林：四湖、元長、東勢、土庫、虎尾、水林、臺西、褒忠、麥寮、北港、口湖、崙背、薊桐、西螺、大埤、二崙，台南：北門、七股,春季
韭菜,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,新北：三峽、林口，宜蘭：員山，桃園：大溪、龍潭，台中：清水，彰化：二林、溪湖、埔鹽、埤頭、芳苑、竹塘、北斗、田尾、溪州、大城、埔心，高雄：美濃，屏東：萬丹，花蓮：吉安,春季
蔥,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,宜蘭：三星、員山、壯圍，台中：大甲，彰化：芳苑、二林、埔鹽、溪湖、福興、大城，南投：仁愛，雲林：土庫、元長、麥寮、褒忠、崙背、東勢、虎尾、西螺、二崙,春季
辣椒,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,台中：新社，雲林：林內，嘉義：鹿草、新港、朴子、六腳、義竹、溪口、布袋，台南：後壁、白河，高雄：美濃，屏東：鹽埔、高樹、萬丹、九如、恆春、新園，花蓮：壽豐，台東：關山,春季
聖誕紅,10月，11月，12月，1月，2月，3月，4月,桃園：復興、楊梅、新屋、觀音、龜山、平鎮、大溪、蘆竹，苗栗：卓蘭，宜蘭：宜蘭市、三星、礁溪，台中：東勢、新社，南投：埔里，高雄：三民,春季
箭竹筍,5月，6月，7月，8月，9月,新北市：石門、平溪、金山、三芝，花蓮：萬榮、光復，南投，嘉義,春季
文心蘭,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,桃園：楊梅，台中：新社、后里、外埔、東勢、石岡、北屯，雲林：古坑、斗南、林內、大埤，嘉義：大林，台南：玉井，屏東：鹽埔、長治、內埔、里港、竹田、高樹、新碑,春季
蝴蝶蘭,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,台東：成功，宜蘭：宜蘭市、壯圍、礁溪、五結、羅東、蘇澳、員山，雲林縣，嘉義縣，台南市,春季
鐵炮百合,10月，11月，12月，1月，2月，3月,苗栗：三義、泰安，宜蘭：宜蘭市、五結、壯圍、三星，台中市：后里、新社、和平，彰化：田尾，南投：仁愛、魚池、阿里山,春季
寒梅,10月，11月，12月，1月，2月，3月，4月，5月,宜蘭：蘇澳，花蓮,春季
甘蔗,10月，11月，12月，1月，2月，3月，4月，5月,南投：埔里、竹山，彰化：西州，嘉義：鹿草、中埔、溪口、六腳、阿里山，雲林：元長、土庫、林內、莿桐，台南：白河、歸仁、善化，高雄：大寮，屏東：萬丹、高樹、九如，台東：鹿野,春季
麵包果,6月，7月，8月,花蓮：新城,春季
李,5月，6月，7月，8月,苗栗：泰安、大湖、獅潭、銅鑼、卓蘭、三義、公館，新竹：尖石，台中：和平、東勢、豐原、新社，南投：仁愛、信義，高雄：桃源、那瑪夏、六龜，台東：延平、卑南、池上、海瑞,春季
山蘇,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,宜蘭：南澳，台中：外埔，南投：名間、魚池，雲林：莿桐，嘉義：中埔、民雄，台南：左鎮、柳營，屏東：獅子、牡丹、春日，花蓮：秀林、鳳林、萬榮、壽豐、光復、瑞穗、豐濱，台東：太麻里,春季
玉米,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,彰化：芳苑，雲林：虎尾、元長、土庫、東勢、褒忠、莿桐、四湖、口湖、臺西、水林、林內，嘉義：六腳、太保、水上、新港，台南：安南、安定，高雄：大寮，花蓮：吉安,春季
山藥,1月，2月，9月，10月，11月，12月,新北：三芝、雙溪、貢寮、平溪，台北：士林，宜蘭：五結、壯圍，台中：沙鹿，南投：名間、南投、埔里、竹山，彰化：芳苑、二林，雲林：斗六、崙背，嘉義：中埔，高雄：大社，屏東：高樹、春日,春季
甜椒,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,新竹：尖石，台中：新社，彰化：北斗，南投：信義、仁愛、埔里、竹山，雲林：西螺、崙背、虎尾、林內、二崙，嘉義：新港、溪口、六腳、水上，高雄：路竹、美濃，屏東：里港，台東：海瑞,春季
芋頭,11月，12月，1月，2月，3月，4月,新北：三芝、金山、淡水，苗栗：公館、銅鑼、苑裡、苗栗，台中：大甲、外埔、后里、清水，雲林：林內，嘉義：中埔，台南：新化，屏東：高樹、春日、九如，花蓮：吉安，金門：列嶼,春季
蕃茄,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,苗栗：大湖，南投：仁愛、信義、埔里，彰化：埔鹽，雲林：莿桐、西螺、虎尾，嘉義：太保、新港、水上、民雄、六腳、溪口，台南：鹽水、歸仁、新市，高雄：美濃、路竹、阿蓮,春季
枇杷,2月，3月，4月，5月,桃園：復興，苗栗：大湖、頭屋、卓蘭、公館，台中：新社、太平、東勢、北屯、石岡，南投：國姓、信義、南投，台東：卑南、太麻里、金峰、鹿野、池上、關山,春季
甘藍,1月，2月，3月，4月，8月，9月，10月，11月，12月,宜蘭：大同，新竹：尖石，台中：和平，南投：仁愛、信義，彰化：芳苑、二林、竹塘，雲林：四湖、土庫、元長、麥寮、東勢、二崙、水林、臺西、莿桐，嘉義：鹿草，台南：善化，台東：海端,春季
南瓜,12月，1月，2月，3月，4月，5月，6月，7月,新北：淡水，南投：埔里，雲林：水林、口湖，嘉義：朴子、鹿草、六腳，台南：歸仁、安定，高雄：美濃、路竹、杉林，屏東：萬丹，花蓮：鳳林、吉安、光復、壽豐、秀林、卓溪，台東：成功,春季
甘藷,1月，2月，3月，12月,苗栗：後龍，台中：沙鹿、清水，彰化：大城、福興、芳苑，雲林：水林、東勢、崙背、西螺、二崙、元長、口湖、土庫、四湖、虎尾，台南：新巿、新化、後壁，台東：蘭嶼,春季
奇異果,1月，2月，3月，4月，9月，10月，11月，12月,新竹：五峰，台中,春季
杜鵑花,2月，3月，4月，9月，10月，11月,新北市：萬里、金山，宜蘭,春季
海芋,12月，1月，2月，3月，4月，5月,原產地：南非。台灣產地：白色海芋主要產區為陽明山竹子湖；彩色海芋則為陽明山竹子湖、新竹五峰鄉、台中后里鄉、南投信義鄉。台北市,春季
楊桃,1月，2月，3月，4月，7月，8月，9月，10月，11月，12月,宜蘭：員山，新竹：芎林，苗栗：卓蘭，台中：東勢、新社，南投：南投，彰化：員林、花壇、社頭、芬園、大村，雲林：莿桐、林內，台南：楠西、玉井、東山、山上，高雄：阿蓮，屏東：高樹、里港、鹽埔,春季
草莓,1月，2月，3月，4月，12月,台北：內湖，桃園：大溪，新竹：關西，苗栗：大湖、獅潭、卓蘭、公館、泰安、三義、銅鑼，台中：后里、潭子，南投：國姓、草屯，雲林：林內，嘉義：大林，台南：善化、新巿，高雄：阿蓮，花蓮：鳳林,春季
印度棗,1月，2月，3月，12月,屏東縣、高雄市、台南市等,春季
蘆筍,2月，3月，4月，5月，6月,彰化：二林、芳苑、埔鹽、溪湖，雲林：褒忠、土庫、四湖，嘉義：東石、六腳、水上、新港、溪口、義竹，台南：西港、安定、將軍、佳里、善化，高雄：大寮，屏東：新園,春季
絲瓜,3月，4月，5月，6月，7月，8月，9月，10月,南投：埔里、魚池、水里、國姓，彰化：溪湖，雲林：斗六、斗南，嘉義：中埔、水上，台南：東山、柳營、白河，高雄：旗山、大社、美濃，屏東：里港、九如、鹽埔、萬丹、新園,春季
杏鮑菇,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,嘉義縣:東石鄉，台中市，彰化縣，南投縣,春季
香蕉,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,南投：中寮、國姓、集集、水里，雲林：古坑，嘉義：竹崎、中埔、梅山、番路，高雄：旗山、美濃、內門，屏東：萬巒、高樹、內埔、里港、鹽埔、新埤、長治，花蓮：壽豐,春季
洋蔥,1月，2月，3月，4月,彰化：伸港、大城、芳苑、和美，雲林：東勢、臺西、水林、元長、口湖、北港、四湖，嘉義：六腳、朴子、太保，高雄：林園、大寮，屏東：恆春、車城、枋山，台東：臺東,春季
茄子,3月，4月，5月，6月，7月，8月，9月，10月,南投：竹山、埔里、水里、名間、仁愛，彰化：永靖、二水、埔心、溪州、田尾，雲林：林內、莿桐，高雄：美濃，屏東：里港、高樹、鹽埔、九如、屏東、長治，花蓮：壽豐,春季
毛豆,2月，3月，4月，9月，10月，11月,屏東縣:崁頂鄉，彰化縣，雲林縣,春季
小白菜,冬季除北部略少外，整年都有生產,,春季
芥藍,八月到翌年四月,新北：樹林、新莊、三峽、蘆洲、土城，台北：士林，宜蘭：員山，桃園：觀音、大溪、蘆竹、桃園，苗栗：後龍，南投：仁愛，彰化：花壇，雲林：二崙、西螺、崙背、虎尾，台南：南區，高雄：梓官,春季
芹菜,10月起至翌年4月,彰化：竹塘、埤頭、溪州、永靖、二林，雲林：林內、莿桐、西螺，嘉義：六腳，高雄：美濃、路竹、杉林、六龜，屏東：里港、高樹、萬丹、九如、鹽埔、新園、崁頂,春季
長豇豆,4月到9月,屏東縣、雲林縣、高雄市、彰化縣等,春季
萊豆,11月到翌年3月,屏東縣、高雄市等,春季
茭白筍,原產期為四月至十月，近來已可整年生產。,新北：三芝、金山、淡水、石門、三峽、貢寮、雙溪，台北：北投、內湖，宜蘭：頭城、礁溪、員山、三星，桃園：龍潭、平鎮、中壢、新屋、大溪、八德、蘆竹，新竹：關西、竹北，台中：沙鹿、梧棲，南投：埔里、魚池,春季
